firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro,position
Ryan,Arcidiacono,Villanova,"[{'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,G
Trevor,Ariza,UCLA,"[{'teamId': '1610612752', 'seasonStart': '2004', 'seasonEnd': '2005'}, {'teamId': '1610612753', 'seasonStart': '2005', 'seasonEnd': '2007'}, {'teamId': '1610612747', 'seasonStart': '2007', 'seasonEnd': '2008'}, {'teamId': '1610612745', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612740', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612764', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612745', 'seasonStart': '2014', 'seasonEnd': '2017'}, {'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '43', 'roundNum': '2', 'seasonYear': '2004'}",2004,14,F
D.J.,Augustin,Texas,"[{'teamId': '1610612766', 'seasonStart': '2008', 'seasonEnd': '2011'}, {'teamId': '1610612754', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612741', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612761', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612765', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612760', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612743', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612753', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612766', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2008'}",2008,10,G
Deandre,Ayton,Arizona,"[{'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '1', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,C
Dwayne,Bacon,Florida State,"[{'teamId': '1610612766', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '40', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G-F
Marvin,Bagley III,Duke,"[{'teamId': '1610612758', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F
Ron,Baker,Wichita State,"[{'teamId': '1610612752', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2,G
Wade,Baldwin IV,Vanderbilt,"[{'teamId': '1610612763', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612757', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612763', 'pickNum': '17', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,G
Lonzo,Ball,California-Los Angeles,"[{'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,G
Mo,Bamba,Texas,"[{'teamId': '1610612753', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '6', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,C
J.J.,Barea,Northeastern,"[{'teamId': '1610612742', 'seasonStart': '2006', 'seasonEnd': '2010'}, {'teamId': '1610612750', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612742', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2006,12,G
Harrison,Barnes,North Carolina,"[{'teamId': '1610612744', 'seasonStart': '2012', 'seasonEnd': '2015'}, {'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2012'}",2012,6,F
Will,Barton,Memphis,"[{'teamId': '1610612757', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612743', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612757', 'pickNum': '40', 'roundNum': '2', 'seasonYear': '2012'}",2012,6,G
Keita,Bates-Diop,Ohio State,"[{'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '48', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,F
Nicolas,Batum,"Lisieux, France","[{'teamId': '1610612757', 'seasonStart': '2008', 'seasonEnd': '2014'}, {'teamId': '1610612766', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '25', 'roundNum': '1', 'seasonYear': '2008'}",2008,10,F-G
Jerryd,Bayless,Arizona,"[{'teamId': '1610612757', 'seasonStart': '2008', 'seasonEnd': '2009'}, {'teamId': '1610612740', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612761', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612763', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612738', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612749', 'seasonStart': '2014', 'seasonEnd': '2015'}, {'teamId': '1610612755', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '11', 'roundNum': '1', 'seasonYear': '2008'}",2008,10,G
Aron,Baynes,Washington State,"[{'teamId': '1610612759', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612765', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2012,6,C-F
Kent,Bazemore,Old Dominion,"[{'teamId': '1610612744', 'seasonStart': '2012', 'seasonEnd': '2013'}, {'teamId': '1610612747', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612737', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2012,6,G
Bradley,Beal,Florida,"[{'teamId': '1610612764', 'seasonStart': '2012', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2012'}",2012,6,G
Malik,Beasley,Florida State,"[{'teamId': '1610612743', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612743', 'pickNum': '19', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,G
Michael,Beasley,Kansas State,"[{'teamId': '1610612748', 'seasonStart': '2008', 'seasonEnd': '2009'}, {'teamId': '1610612750', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612756', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612748', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612745', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612749', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '2', 'roundNum': '1', 'seasonYear': '2008'}",2008,10,F
Marco,Belinelli,"Bologna, Italy","[{'teamId': '1610612744', 'seasonStart': '2007', 'seasonEnd': '2008'}, {'teamId': '1610612761', 'seasonStart': '2009', 'seasonEnd': '2009'}, {'teamId': '1610612740', 'seasonStart': '2010', 'seasonEnd': '2011'}, {'teamId': '1610612741', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612759', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612758', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612766', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612755', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612737', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612759', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '18', 'roundNum': '1', 'seasonYear': '2007'}",2007,11,G-F
Jordan,Bell,Oregon,"[{'teamId': '1610612744', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '38', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,F
DeAndre',Bembry,Saint Joseph's,"[{'teamId': '1610612737', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612737', 'pickNum': '21', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,F
Dragan,Bender,,"[{'teamId': '1610612756', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '4', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,F
Davis,Bertans,,"[{'teamId': '1610612759', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612754', 'pickNum': '42', 'roundNum': '2', 'seasonYear': '2011'}",2016,2,F
Patrick,Beverley,Arkansas,"[{'teamId': '1610612745', 'seasonStart': '2012', 'seasonEnd': '2016'}, {'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '42', 'roundNum': '2', 'seasonYear': '2009'}",2012,6,G
Khem,Birch,Nevada-Las Vegas,"[{'teamId': '1610612753', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,C
Jabari,Bird,California,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '56', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G
Bismack,Biyombo,"Lubumbashi, DR Congo","[{'teamId': '1610612766', 'seasonStart': '2011', 'seasonEnd': '2014'}, {'teamId': '1610612761', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612753', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612766', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612758', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2011'}",2011,7,C
Nemanja,Bjelica,,"[{'teamId': '1610612750', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612758', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '35', 'roundNum': '2', 'seasonYear': '2010'}",2015,3,F
Antonio,Blakeney,Louisiana State,"[{'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,G
Eric,Bledsoe,Kentucky,"[{'teamId': '1610612746', 'seasonStart': '2010', 'seasonEnd': '2012'}, {'teamId': '1610612756', 'seasonStart': '2013', 'seasonEnd': '2017'}, {'teamId': '1610612749', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612760', 'pickNum': '18', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,G
Jaron,Blossomgame,Clemson,"[{'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612759', 'pickNum': '59', 'roundNum': '2', 'seasonYear': '2017'}",2018,0,F
Trevon,Bluiett,Xavier (Ohio),"[{'teamId': '1610612740', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",,0,G-F
Bogdan,Bogdanovic,,"[{'teamId': '1610612758', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '27', 'roundNum': '1', 'seasonYear': '2014'}",2017,1,G
Bojan,Bogdanovic,,"[{'teamId': '1610612751', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612764', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612754', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612748', 'pickNum': '31', 'roundNum': '2', 'seasonYear': '2011'}",2014,4,F
Jonah,Bolden,,"[{'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '36', 'roundNum': '2', 'seasonYear': '2017'}",2018,0,F
Isaac,Bonga,,"[{'teamId': '1610612747', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '39', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,G
Devin,Booker,Kentucky,"[{'teamId': '1610612756', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612756', 'pickNum': '13', 'roundNum': '1', 'seasonYear': '2015'}",2015,3,G
Chris,Boucher,Oregon,"[{'teamId': '1610612744', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612761', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1,F
Avery,Bradley,Texas,"[{'teamId': '1610612738', 'seasonStart': '2010', 'seasonEnd': '2016'}, {'teamId': '1610612765', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612746', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '19', 'roundNum': '1', 'seasonYear': '2010'}",2010,8,G
Tony,Bradley,North Carolina,"[{'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612747', 'pickNum': '28', 'roundNum': '1', 'seasonYear': '2017'}",2017,1,C
Mikal,Bridges,Villanova,"[{'teamId': '1610612756', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '10', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F
Miles,Bridges,Michigan State,"[{'teamId': '1610612766', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '12', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F
Isaiah,Briscoe,,"[{'teamId': '1610612753', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,G
Ryan,Broekhoff,,"[{'teamId': '1610612742', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,G-F
Malcolm,Brogdon,Virginia,"[{'teamId': '1610612749', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '36', 'roundNum': '2', 'seasonYear': '2016'}",2016,2,G
Dillon,Brooks,Oregon,"[{'teamId': '1610612763', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '45', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G-F
MarShon,Brooks,Providence,"[{'teamId': '1610612751', 'seasonStart': '2011', 'seasonEnd': '2012'}, {'teamId': '1610612738', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612747', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612744', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612763', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '25', 'roundNum': '1', 'seasonYear': '2011'}",2011,4,G
Bruce,Brown,Miami (FL),"[{'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612765', 'pickNum': '42', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,G
Jaylen,Brown,California,"[{'teamId': '1610612738', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '3', 'roundNum': '1', 'seasonYear': '2016'}",2016,2,G
Lorenzo,Brown,North Carolina State,"[{'teamId': '1610612755', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612750', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612756', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612765', 'seasonStart': '2015', 'seasonEnd': '2015'}, {'teamId': '1610612761', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '52', 'roundNum': '2', 'seasonYear': '2013'}",2013,4,G
Sterling,Brown,Southern Methodist,"[{'teamId': '1610612749', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612755', 'pickNum': '46', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,G
Troy,Brown Jr.,Oregon,"[{'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612764', 'pickNum': '15', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F
Jalen,Brunson,Villanova,"[{'teamId': '1610612742', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612742', 'pickNum': '33', 'roundNum': '2', 'seasonYear': '2018'}",2018,0,G
Thomas,Bryant,Indiana,"[{'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612764', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '42', 'roundNum': '2', 'seasonYear': '2017'}",2017,1,C
Reggie,Bullock,North Carolina,"[{'teamId': '1610612746', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612756', 'seasonStart': '2014', 'seasonEnd': '2014'}, {'teamId': '1610612765', 'seasonStart': '2015', 'seasonEnd': '2018'}]","{'teamId': '1610612746', 'pickNum': '25', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,G-F
Trey,Burke,Michigan,"[{'teamId': '1610612762', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612764', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612750', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,G
Alec,Burks,Colorado,"[{'teamId': '1610612762', 'seasonStart': '2011', 'seasonEnd': '2018'}, {'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612762', 'pickNum': '12', 'roundNum': '1', 'seasonYear': '2011'}",2011,7,G
Deonte,Burton,Iowa State,"[{'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2018,0,G
Jimmy,Butler,Marquette,"[{'teamId': '1610612741', 'seasonStart': '2011', 'seasonEnd': '2016'}, {'teamId': '1610612750', 'seasonStart': '2017', 'seasonEnd': '2018'}, {'teamId': '1610612755', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '30', 'roundNum': '1', 'seasonYear': '2011'}",2011,7,G-F
Jose,Calderon,"Villanueva de la Serena, Spain","[{'teamId': '1610612761', 'seasonStart': '2005', 'seasonEnd': '2012'}, {'teamId': '1610612765', 'seasonStart': '2012', 'seasonEnd': '2012'}, {'teamId': '1610612742', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612752', 'seasonStart': '2013', 'seasonEnd': '2015'}, {'teamId': '1610612737', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612747', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612739', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612765', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2005,13,G
Kentavious,Caldwell-Pope,Georgia,"[{'teamId': '1610612765', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612747', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612765', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2013'}",2013,5,G
Clint,Capela,,"[{'teamId': '1610612745', 'seasonStart': '2014', 'seasonEnd': '2018'}]","{'teamId': '1610612745', 'pickNum': '25', 'roundNum': '1', 'seasonYear': '2014'}",2014,4,C
DeMarre,Carroll,Missouri,"[{'teamId': '1610612763', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612745', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612743', 'seasonStart': '2011', 'seasonEnd': '2011'}, {'teamId': '1610612762', 'seasonStart': '2011', 'seasonEnd': '2012'}, {'teamId': '1610612737', 'seasonStart': '2013', 'seasonEnd': '2014'}, {'teamId': '1610612761', 'seasonStart': '2015', 'seasonEnd': '2016'}, {'teamId': '1610612751', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612763', 'pickNum': '27', 'roundNum': '1', 'seasonYear': '2009'}",2009,9,F
Jevon,Carter,West Virginia,"[{'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612763', 'pickNum': '32', 'roundNum': '2', 'seasonYear': '2018'}",,0,G
Vince,Carter,North Carolina,"[{'teamId': '1610612761', 'seasonStart': '1998', 'seasonEnd': '2004'}, {'teamId': '1610612751', 'seasonStart': '2004', 'seasonEnd': '2008'}, {'teamId': '1610612753', 'seasonStart': '2009', 'seasonEnd': '2010'}, {'teamId': '1610612756', 'seasonStart': '2010', 'seasonEnd': '2010'}, {'teamId': '1610612742', 'seasonStart': '2011', 'seasonEnd': '2013'}, {'teamId': '1610612763', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612758', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612737', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612744', 'pickNum': '5', 'roundNum': '1', 'seasonYear': '1998'}",1998,20,F-G
Wendell,Carter Jr.,Duke,"[{'teamId': '1610612741', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '7', 'roundNum': '1', 'seasonYear': '2018'}",2018,0,F
