firstName,lastName,collegeName,currentTeam,draftTeam,draftYear,yearsPro
Joakim,Noah,Florida,"[{'teamId': '1610612741', 'seasonStart': '2007', 'seasonEnd': '2015'}, {'teamId': '1610612752', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612763', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '2007'}",2007,11
Nerlens,Noel,Kentucky,"[{'teamId': '1610612755', 'seasonStart': '2013', 'seasonEnd': '2016'}, {'teamId': '1610612742', 'seasonStart': '2016', 'seasonEnd': '2017'}, {'teamId': '1610612760', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612740', 'pickNum': '6', 'roundNum': '1', 'seasonYear': '2013'}",2014,4
Dirk,Nowitzki,"Wurzburg, Germany","[{'teamId': '1610612742', 'seasonStart': '1998', 'seasonEnd': '2018'}]","{'teamId': '1610612749', 'pickNum': '9', 'roundNum': '1', 'seasonYear': '1998'}",1998,20
Frank,Ntilikina,,"[{'teamId': '1610612752', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612752', 'pickNum': '8', 'roundNum': '1', 'seasonYear': '2017'}",2017,1
James,Nunnally,California-Santa Barbara,"[{'teamId': '1610612755', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612737', 'seasonStart': '2013', 'seasonEnd': '2013'}, {'teamId': '1610612750', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2013,1
Jusuf,Nurkic,,"[{'teamId': '1610612743', 'seasonStart': '2014', 'seasonEnd': '2016'}, {'teamId': '1610612757', 'seasonStart': '2016', 'seasonEnd': '2018'}]","{'teamId': '1610612741', 'pickNum': '16', 'roundNum': '1', 'seasonYear': '2014'}",2014,4
David,Nwaba,Cal Poly-S.L.O.,"[{'teamId': '1610612747', 'seasonStart': '2016', 'seasonEnd': '2016'}, {'teamId': '1610612741', 'seasonStart': '2017', 'seasonEnd': '2017'}, {'teamId': '1610612739', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2016,2
Royce,O'Neale,Baylor,"[{'teamId': '1610612762', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '', 'pickNum': '', 'roundNum': '', 'seasonYear': ''}",2017,1
Kyle,O'Quinn,Norfolk State,"[{'teamId': '1610612753', 'seasonStart': '2012', 'seasonEnd': '2014'}, {'teamId': '1610612752', 'seasonStart': '2015', 'seasonEnd': '2017'}, {'teamId': '1610612754', 'seasonStart': '2018', 'seasonEnd': '2018'}]","{'teamId': '1610612753', 'pickNum': '49', 'roundNum': '2', 'seasonYear': '2012'}",2012,6
Semi,Ojeleye,Southern Methodist,"[{'teamId': '1610612738', 'seasonStart': '2017', 'seasonEnd': '2018'}]","{'teamId': '1610612738', 'pickNum': '37', 'roundNum': '2', 'seasonYear': '2017'}",2017,1
